median_household_income,median_home_value,median_gross_rent,population,median_year_built_neighborhood,mean_commute_time,zip,vacancy_rate,pct_bachelors_plus,poverty_rate,homeownership_rate
92292.0,297700.0,1319.0,6479.0,1977,3186.0,17527,0.01803885291396856,0.11389148737137511,0.04908164840253126,0.7343382006594442
124211.0,381700.0,1121.0,14625.0,1972,6219.0,18036,0.03393999016232174,0.251984657925252,0.031247863247863248,0.8705023761031908
95052.0,286300.0,1284.0,5665.0,1973,2571.0,18041,0.020981955518254325,0.20088408644400785,0.049955869373345105,0.7453921988855551
109613.0,408800.0,1716.0,4714.0,1977,2073.0,18054,0.06161395856052343,0.23796548592188918,0.10967331353415359,0.8343986054619408
90087.0,293800.0,1273.0,11947.0,1966,4730.0,18055,0.04427820460978571,0.21528246680171056,0.0524817945927848,0.8028347789295537
72083.0,274700.0,,286.0,1960,138.0,18070,0.0,0.09623430962343096,0.01048951048951049,0.94
107643.0,342300.0,1413.0,11534.0,1992,5097.0,18073,0.011251758087201136,0.17996011964107678,0.06831975030345067,0.8916548127074443
126250.0,388000.0,972.0,5394.0,1978,2393.0,18074,0.02241147467503357,0.32915517673602407,0.06247682610307749,0.9660706098120129
87386.0,253500.0,990.0,3013.0,1981,1279.0,18076,0.05727204220045212,0.17951172809956917,0.07965482907401261,0.715427657873701
97188.0,381200.0,1168.0,2195.0,1956,1070.0,18077,0.08248472505091653,0.33752997601918466,0.04009111617312073,0.8168701442841287
113681.0,,,282.0,1971,77.0,18081,0.0,0.09375,0.05319148936170213,0.7741935483870968
115425.0,544200.0,1890.0,28477.0,1974,10106.0,18901,0.042428483947161255,0.3423038728897716,0.044667626505601014,0.6886533893659784
164482.0,637700.0,2143.0,22648.0,1993,8842.0,18902,0.027360774818401934,0.38137416171074273,0.03602967149417167,0.9224545680856361
223182.0,2000001.0,,250.0,1938,104.0,18912,0.0,0.16964285714285715,0.312,0.8563218390804598
148286.0,477200.0,1991.0,21371.0,1986,9530.0,18914,0.021012658227848147,0.3392517006802721,0.032801459922324645,0.8632014481510215
141645.0,504000.0,1674.0,1791.0,1993,584.0,18915,0.0,0.29130087789305664,0.03461753210496929,0.873217115689382
75000.0,356100.0,1342.0,2176.0,1973,1105.0,18917,0.0632672332389046,0.26279650436953805,0.07950367647058823,0.5987903225806451
145455.0,606500.0,,483.0,1962,194.0,18920,0.06140350877192979,0.37532133676092544,0.0,0.7429906542056075
239028.0,385200.0,,177.0,1963,66.0,18921,0.0,0.11764705882352941,0.0,1.0
76469.0,414700.0,2259.0,1317.0,1976,429.0,18923,0.1165755919854281,0.3956756756756757,0.0812452543659833,0.8536082474226804
207926.0,669300.0,2667.0,6650.0,2002,2700.0,18925,0.005887681159420288,0.3686292762392367,0.015037593984962405,0.9471526195899772
250001.0,,,311.0,1973,132.0,18927,0.0,0.5498392282958199,0.0,0.2635135135135135
174606.0,605100.0,1713.0,9736.0,1992,3793.0,18929,0.03205322044148773,0.35237810349985044,0.029889071487263764,0.9600124960949703
123984.0,495800.0,726.0,2218.0,1975,967.0,18930,0.041536863966770476,0.23377403846153846,0.022993688007213707,0.9241603466955579
110028.0,466000.0,,584.0,1960,181.0,18932,0.0,0.3052391799544419,0.03767123287671233,0.7255813953488373
250001.0,282500.0,,288.0,1978,165.0,18936,0.0,0.11042944785276074,0.0,0.9010989010989011
161146.0,701700.0,2005.0,13192.0,1983,4248.0,18938,0.048830271628199085,0.3522758876425327,0.022362037598544573,0.8771871904919115
157591.0,623300.0,2227.0,29797.0,1987,11134.0,18940,0.02439853778797929,0.3428861507222299,0.039064335335772055,0.8604914604391775
99091.0,485800.0,1392.0,2498.0,1966,759.0,18942,0.08736217133163693,0.20908669448307834,0.036028823058446756,0.9144981412639405
133131.0,411200.0,1383.0,27405.0,1981,12733.0,18944,0.033738992777283094,0.27185083165589574,0.036891078270388615,0.8149703051402826
136615.0,604000.0,2057.0,6676.0,1984,2381.0,18947,0.08028116907140215,0.32434114961610294,0.031605751947273816,0.9279967819790829
,,,128.0,1938,128.0,18950,0.33333333333333337,0.1796875,0.0,1.0
